post_id;post_name;version;tags_number;is_featured;score;created_at_day;created_at_daytime;launched_day;is_best_time_to_launch;is_best_day_to_launch;is_weekend;positive_description_sentiment;negative_description_sentiment;discretized_positive_description_score;discretized_negative_description_score;discretized_neutral_description_score;text_description_length;sentence_length_in_the_description;bullet_points_explicit_features;emoji_in_description;tagline_length;emoji_in_tagline;are_there_video;are_there_tweetable_images;are_there_gif_images;number_of_gif;offers;promo_discount_codes;are_there_questions;hunter_id;hunter_name;hunter_has_twitter;hunter_has_website;hunter_followers;hunter_apps_made;hunter_follows_up_on_comments;hunter_is_maker;maker_id;maker_name;maker_has_twitter;maker_has_website;maker_followers;maker_follows_up_on_comments;maker_positive_comment;maker_negative_comment;discretized_maker_positive_comment_score;discretized_maker_negative_comment_score;discretized_maker_neutral_comment_score;others_positive_comment;others_negative_comment;discretized_others_positive_comment_score;discretized_others_negative_comment_score;discretized_others_neutral_comment_score;topic
129566;Fitness Lab;1.0;4;Yes;98;25/06/2018;25/06/2018 00:00:00;Monday;No;No;No;2;-1;True;False;False;Long;Short;No;No;Medium;No;Yes;No;No;0;No;No;Yes;1225174;Mikhail Mazurovsky;Yes;No;Low;Low;Yes;No;1332976;Golishnikov Sergei;No;No;Low;No;1;-1;False;False;True;3;-2;True;True;False;web development
129574;London Rent Hacker;1.0;2;Yes;45;25/06/2018;25/06/2018 00:02:00;Monday;Yes;Yes;No;2;-2;True;True;False;Long;Short;No;No;Long;No;No;No;No;0;No;No;No;1320602;Tom Moon;No;No;Low;Low;No;Yes;1320602;Tom Moon;No;No;Low;Yes;4;-3;True;True;False;1;-1;False;False;True;community
129584;Netler;1.0;3;Yes;156;26/06/2018;26/06/2018 00:00:00;Tuesday;No;No;No;1;-1;False;False;True;Medium;Medium;No;No;Long;Yes;No;No;Yes;1;No;No;No;614326;Andrey Tsarkov;Yes;Yes;Low;Low;No;Yes;614326;Andrey Tsarkov;Yes;Yes;Low;Yes;3;-1;True;False;False;1;-1;False;False;True;community
129585;Moniesto;1.0;3;Yes;204;25/06/2018;25/06/2018 02:01:55;Monday;Yes;No;No;3;-1;True;False;False;Short;Medium;No;No;Short;Yes;Yes;Yes;Yes;1;No;No;No;1262460;Guilherme Rizzo;Yes;No;Low;Low;No;Yes;1262460;Guilherme Rizzo;Yes;No;Low;Yes;4;-3;True;True;False;1;-1;False;False;True;community
129586;CustomJournal;1.0;3;Yes;40;25/06/2018;26/06/2018 00:00:00;Tuesday;No;No;No;1;-1;False;False;True;Medium;Short;No;No;Long;No;No;No;No;0;No;No;No;1324889;Jerry Sha;Yes;Yes;Low;Low;No;Yes;1324889;Jerry Sha;Yes;Yes;Low;Yes;1;-2;False;True;False;1;-1;False;False;True;web development
129588;Marketing Pages;1.0;2;Yes;567;25/06/2018;26/06/2018 00:50:17;Tuesday;Yes;Yes;No;3;-1;True;False;False;Long;Short;No;No;Long;No;No;No;No;0;No;No;Yes;7185;Ramy;Yes;Yes;Low;Medium;No;Yes;7185;Ramy;Yes;Yes;Low;Yes;2;-1;True;False;False;1;-1;False;False;True;creativity
129589;Murmure for Gmail;1.0;1;Yes;45;25/06/2018;26/06/2018 04:09:24;Tuesday;Yes;Yes;No;2;-1;True;False;False;Medium;Medium;No;No;Medium;Yes;No;No;No;0;No;No;Yes;1096571;Gary Assoun;No;Yes;Low;Low;No;Yes;1096571;Gary Assoun;No;Yes;Low;Yes;3;-2;True;True;False;1;-1;False;False;True;community
129591;OnTime;2.0;2;No;7;25/06/2018;25/06/2018 01:08:38;Monday;Yes;Yes;No;2;-1;True;False;False;Short;Short;No;No;Short;No;No;No;No;0;No;No;No;1330093;Lam Kaipun;No;No;Low;Low;No;Yes;1330093;Lam Kaipun;No;No;Low;No;1;-1;False;False;True;1;-1;False;False;True;creativity
129594;Pod Magician;1.0;5;No;2;25/06/2018;25/06/2018 01:36:00;Monday;Yes;Yes;No;3;-1;True;False;False;Long;Short;No;No;Short;No;No;No;No;0;No;No;No;1330268;Celal Dogan Kaya;Yes;No;Low;Low;No;Yes;1330268;Celal Dogan Kaya;Yes;No;Low;No;1;-1;False;False;True;1;-1;False;False;True;web development
129596;Feedo;1.0;4;No;7;25/06/2018;25/06/2018 01:50:22;Monday;Yes;Yes;No;4;-1;True;False;False;Long;Medium;No;No;Long;No;No;No;Yes;2;No;No;Yes;1023486;Shailendra Mahani;No;No;Low;Low;Yes;No;1331567;Sanket Kumar;No;No;Low;No;1;-1;False;False;True;3;-3;True;True;False;creativity
